city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,timezone
Woodsville,Woodsville,NH,New Hampshire,33009,Grafton,44.1423,-72.0256,America/New_York
Olla,Olla,LA,Louisiana,22059,LaSalle,31.8981,-92.2404,America/Chicago
Middleburg,Middleburg,PA,Pennsylvania,42109,Snyder,40.7892,-77.0445,America/New_York
New Hackensack,New Hackensack,NY,New York,36027,Dutchess,41.6194,-73.8593,America/New_York
Tower City,Tower City,PA,Pennsylvania,42107,Schuylkill,40.5884,-76.553,America/New_York
Lexington,Lexington,MI,Michigan,26151,Sanilac,43.2671,-82.5374,America/Detroit
Sardinia,Sardinia,OH,Ohio,39015,Brown,39.0071,-83.802,America/New_York
Loyal,Loyal,WI,Wisconsin,55019,Clark,44.7366,-90.4956,America/Chicago
Lone Jack,Lone Jack,MO,Missouri,29095,Jackson,38.8706,-94.1852,America/Chicago
Alto,Alto,GA,Georgia,13011,Banks,34.4649,-83.5727,America/New_York
Cordry Sweetwater Lakes,Cordry Sweetwater Lakes,IN,Indiana,18013,Brown,39.3085,-86.1227,America/Indiana/Indianapolis
Glenns Ferry,Glenns Ferry,ID,Idaho,16039,Elmore,42.9504,-115.3067,America/Boise
Maple Bluff,Maple Bluff,WI,Wisconsin,55025,Dane,43.1131,-89.3718,America/Chicago
Plainview,Plainview,NE,Nebraska,31139,Pierce,42.3534,-97.7871,America/Chicago
Farmingdale,Farmingdale,NJ,New Jersey,34025,Monmouth,40.1985,-74.1702,America/New_York
Mansfield,Mansfield,AR,Arkansas,5127,Scott,35.0635,-94.2373,America/Chicago
Shoreacres,Shoreacres,TX,Texas,48201,Harris,29.6203,-95.0191,America/Chicago
Union City,Union City,OK,Oklahoma,40017,Canadian,35.4015,-97.9047,America/Chicago
Elkader,Elkader,IA,Iowa,19043,Clayton,42.8574,-91.4028,America/Chicago
Onset,Onset,MA,Massachusetts,25023,Plymouth,41.7481,-70.667,America/New_York
Dilkon,Dilkon,AZ,Arizona,4017,Navajo,35.3606,-110.3155,America/Denver
Woodland Heights,Woodland Heights,PA,Pennsylvania,42121,Venango,41.4108,-79.7048,America/New_York
Lower Lake,Lower Lake,CA,California,6033,Lake,38.9118,-122.6084,America/Los_Angeles
Waterflow,Waterflow,NM,New Mexico,35045,San Juan,36.7568,-108.4673,America/Denver
Six Shooter Canyon,Six Shooter Canyon,AZ,Arizona,4007,Gila,33.3569,-110.7719,America/Phoenix
Magnolia Springs,Magnolia Springs,AL,Alabama,1003,Baldwin,30.4003,-87.7749,America/Chicago
Surf City,Surf City,NJ,New Jersey,34029,Ocean,39.6646,-74.1711,America/New_York
Gillett,Gillett,WI,Wisconsin,55083,Oconto,44.8897,-88.3063,America/Chicago
Charlotte,Charlotte,TX,Texas,48013,Atascosa,28.8593,-98.7006,America/Chicago
Coon Rapids,Coon Rapids,IA,Iowa,19027,Carroll,41.8747,-94.6785,America/Chicago
Boyce,Boyce,LA,Louisiana,22079,Rapides,31.3907,-92.67,America/Chicago
Republic,Republic,PA,Pennsylvania,42051,Fayette,39.9664,-79.8768,America/New_York
Lone Pine,Lone Pine,CA,California,6027,Inyo,36.5774,-118.0777,America/Los_Angeles
Sibley,Sibley,LA,Louisiana,22119,Webster,32.5422,-93.2947,America/Chicago
Palmyra,Palmyra,IN,Indiana,18061,Harrison,38.4082,-86.1086,America/Kentucky/Louisville
Sutton-Alpine,Sutton-Alpine,AK,Alaska,2170,Matanuska-Susitna,61.7428,-148.8548,America/Anchorage
Victory Lakes,Victory Lakes,NJ,New Jersey,34015,Gloucester,39.6305,-74.9663,America/New_York
Manton,Manton,MI,Michigan,26165,Wexford,44.4114,-85.401,America/Detroit
Indios,Indios,PR,Puerto Rico,72059,Guayanilla,17.9942,-66.821,America/Puerto_Rico
Duboistown,Duboistown,PA,Pennsylvania,42081,Lycoming,41.2228,-77.038,America/New_York
Pioneer,Pioneer,CA,California,6005,Amador,38.4337,-120.586,America/Los_Angeles
Snyder,Snyder,OK,Oklahoma,40075,Kiowa,34.655,-98.9535,America/Chicago
Atlantic Beach,Atlantic Beach,NY,New York,36059,Nassau,40.5893,-73.7295,America/New_York
Lenape Heights,Lenape Heights,PA,Pennsylvania,42005,Armstrong,40.7633,-79.5217,America/New_York
Edinburg,Edinburg,VA,Virginia,51171,Shenandoah,38.8235,-78.5634,America/New_York
Camp Hill,Camp Hill,AL,Alabama,1123,Tallapoosa,32.8002,-85.6536,America/Chicago
Chevy Chase Heights,Chevy Chase Heights,PA,Pennsylvania,42063,Indiana,40.6403,-79.1456,America/New_York
Nellieburg,Nellieburg,MS,Mississippi,28075,Lauderdale,32.3974,-88.783,America/Chicago
Falls City,Falls City,OR,Oregon,41053,Polk,44.8648,-123.4372,America/Los_Angeles
Sheldon,Sheldon,IL,Illinois,17075,Iroquois,40.771,-87.5657,America/Chicago
Albion,Albion,PA,Pennsylvania,42049,Erie,41.8904,-80.3641,America/New_York
Henning,Henning,TN,Tennessee,47097,Lauderdale,35.682,-89.577,America/Chicago
Redington Beach,Redington Beach,FL,Florida,12103,Pinellas,27.8128,-82.8096,America/New_York
Halifax,Halifax,VA,Virginia,51083,Halifax,36.7612,-78.9279,America/New_York
Cordova,Cordova,NC,North Carolina,37153,Richmond,34.9103,-79.8119,America/New_York
Alamosa East,Alamosa East,CO,Colorado,8003,Alamosa,37.4766,-105.8397,America/Denver
Gloster,Gloster,MS,Mississippi,28005,Amite,31.1951,-91.0176,America/Chicago
Tatum,Tatum,TX,Texas,48401,Rusk,32.3159,-94.5189,America/Chicago
Munday,Munday,TX,Texas,48275,Knox,33.4471,-99.624,America/Chicago
Cashion,Cashion,OK,Oklahoma,40073,Kingfisher,35.8009,-97.6771,America/Chicago
Ramos,Ramos,PR,Puerto Rico,72089,Luquillo,18.3389,-65.7111,America/Puerto_Rico
Hillsboro,Hillsboro,WI,Wisconsin,55123,Vernon,43.656,-90.3365,America/Chicago
Long Creek,Long Creek,IL,Illinois,17115,Macon,39.8053,-88.8474,America/Chicago
Johnson City,Johnson City,KS,Kansas,20187,Stanton,37.5703,-101.7447,America/Chicago
Heppner,Heppner,OR,Oregon,41049,Morrow,45.3547,-119.556,America/Los_Angeles
Loretto,Loretto,PA,Pennsylvania,42021,Cambria,40.5086,-78.6349,America/New_York
Westminster,Westminster,TX,Texas,48085,Collin,33.3649,-96.4598,America/Chicago
Bangor,Bangor,WI,Wisconsin,55063,La Crosse,43.8937,-90.9934,America/Chicago
Locust Fork,Locust Fork,AL,Alabama,1009,Blount,33.8957,-86.6302,America/Chicago
Robins AFB,Robins AFB,GA,Georgia,13153,Houston,32.6092,-83.5846,America/New_York
Mazon,Mazon,IL,Illinois,17063,Grundy,41.2417,-88.4231,America/Chicago
Mogul,Mogul,NV,Nevada,32031,Washoe,39.5164,-119.923,America/Los_Angeles
