"","name","common_name","SPEC","project_code"
"1","1-10","Brewer's Blackbird","BRBL","EBIRD"
"2","1-10","House Wren","HOWR","EBIRD"
"3","1-12","California Scrub-Jay","CASJ","EBIRD"
"4","1-12","Cliff Swallow","CLSW","EBIRD"
"5","1-12","Common Raven","CORA","EBIRD"
"6","1-12","Lark Sparrow","LASP","EBIRD"
"7","1-12","Rock Pigeon","ROPI","EBIRD"
"8","1-12","Song Sparrow","SOSP","EBIRD"
"9","1-12","White-crowned Sparrow","WCSP","EBIRD"
"10","1-12","Wild Turkey","WITU","EBIRD"
"11","1-19","American Coot","AMCO","EBIRD"
"12","1-19","American Crow","AMCR","EBIRD"
"13","1-19","American Goldfinch","AMGO","EBIRD"
"14","1-19","Barn Swallow","BARS","EBIRD"
"15","1-19","Black-necked Stilt","BNST","EBIRD"
"16","1-19","Black Phoebe","BLPH","EBIRD"
"17","1-19","Brewer's Blackbird","BRBL","EBIRD"
"18","1-19","Brown-headed Cowbird","BHCO","EBIRD"
"19","1-19","Bullock's Oriole","BUOR","EBIRD"
"20","1-19","California Towhee","CALT","EBIRD"
"21","1-19","Canada Goose","CANG","EBIRD"
"22","1-19","Cinnamon Teal","CITE","EBIRD"
"23","1-19","Cliff Swallow","CLSW","EBIRD"
"24","1-19","Common Gallinule","COGA","EBIRD"
"25","1-19","Common Raven","CORA","EBIRD"
"26","1-19","European Starling","EUST","EBIRD"
"27","1-19","Golden Eagle","GOEA","EBIRD"
"28","1-19","Great-tailed Grackle","GTGR","EBIRD"
"29","1-19","House Finch","HOFI","EBIRD"
"30","1-19","House Sparrow","HOSP","EBIRD"
"31","1-19","Killdeer","KILL","EBIRD"
"32","1-19","Lesser Goldfinch","LEGO","EBIRD"
"33","1-19","Mallard","MALL","EBIRD"
"34","1-19","Northern Rough-winged Swallow","NRWS","EBIRD"
"35","1-19","Nuttall's Woodpecker","NUWO","EBIRD"
"36","1-19","Peregrine Falcon","PEFA","EBIRD"
"37","1-19","Pied-billed Grebe","PBGR","EBIRD"
"38","1-19","Red-tailed Hawk","RTHA","EBIRD"
"39","1-19","Red-winged Blackbird","RWBL","EBIRD"
"40","1-19","Savannah Sparrow","SAVS","EBIRD"
"41","1-19","Song Sparrow","SOSP","EBIRD"
"42","1-19","Tree Swallow","TRES","EBIRD"
"43","1-19","Violet-green Swallow","VGSW","EBIRD"
"44","1-19","Virginia Rail","VIRA","EBIRD"
"45","1-19","Western Bluebird","WEBL","EBIRD"
"46","1-19","Western Kingbird","WEKI","EBIRD"
"47","1-20","American Crow","AMCR","EBIRD"
"48","1-20","Barn Swallow","BARS","EBIRD"
"49","1-20","Black Phoebe","BLPH","EBIRD"
"50","1-20","Brewer's Blackbird","BRBL","EBIRD"
"51","1-20","Brown-headed Cowbird","BHCO","EBIRD"
"52","1-20","Bullock's Oriole","BUOR","EBIRD"
"53","1-20","Cinnamon Teal","CITE","EBIRD"
"54","1-20","Cliff Swallow","CLSW","EBIRD"
"55","1-20","Common Gallinule","COGA","EBIRD"
"56","1-20","Common Raven","CORA","EBIRD"
"57","1-20","European Starling","EUST","EBIRD"
"58","1-20","Golden Eagle","GOEA","EBIRD"
"59","1-20","House Finch","HOFI","EBIRD"
"60","1-20","House Sparrow","HOSP","EBIRD"
"61","1-20","Killdeer","KILL","EBIRD"
"62","1-20","Mallard","MALL","EBIRD"
"63","1-20","Red-tailed Hawk","RTHA","EBIRD"
"64","1-20","Red-winged Blackbird","RWBL","EBIRD"
"65","1-20","Tree Swallow","TRES","EBIRD"
"66","1-20","Western Bluebird","WEBL","EBIRD"
"67","1-20","Western Kingbird","WEKI","EBIRD"
"68","1-21","Bullock's Oriole","BUOR","EBIRD"
"69","1-21","Tree Swallow","TRES","EBIRD"
"70","1-21","Western Kingbird","WEKI","EBIRD"
"71","1-22","Red-winged Blackbird","RWBL","EBIRD"
"72","1-23","Ash-throated Flycatcher","ATFL","EBIRD"
"73","1-23","Bewick's Wren","BEWR","EBIRD"
"74","1-23","Brewer's Blackbird","BRBL","EBIRD"
"75","1-23","Bullock's Oriole","BUOR","EBIRD"
"76","1-23","California Quail","CAQU","EBIRD"
"77","1-23","California Scrub-Jay","CASJ","EBIRD"
"78","1-23","California Towhee","CALT","EBIRD"
"79","1-23","Cliff Swallow","CLSW","EBIRD"
"80","1-23","Common Raven","CORA","EBIRD"
"81","1-23","Dark-eyed Junco","DEJU","EBIRD"
"82","1-23","Downy Woodpecker","DOWO","EBIRD"
"83","1-23","Eurasian Collared-Dove","EUCD","EBIRD"
"84","1-23","European Starling","EUST","EBIRD"
"85","1-23","Grasshopper Sparrow","GRSP","EBIRD"
"86","1-23","House Finch","HOFI","EBIRD"
"87","1-23","Lark Sparrow","LASP","EBIRD"
"88","1-23","Lazuli Bunting","LAZB","EBIRD"
"89","1-23","Mourning Dove","MODO","EBIRD"
"90","1-23","Pacific-slope Flycatcher","PSFL","EBIRD"
"91","1-23","Peregrine Falcon","PEFA","EBIRD"
"92","1-23","Pine Siskin","PISI","EBIRD"
"93","1-23","Red-tailed Hawk","RTHA","EBIRD"
"94","1-23","Rock Pigeon","ROPI","EBIRD"
"95","1-23","Song Sparrow","SOSP","EBIRD"
"96","1-23","Swainson's Thrush","SWTH","EBIRD"
"97","1-23","Tree Swallow","TRES","EBIRD"
"98","1-23","Western Bluebird","WEBL","EBIRD"
"99","1-23","Western Kingbird","WEKI","EBIRD"
"100","1-23","White-crowned Sparrow","WCSP","EBIRD"
"101","1-23","Wilson's Warbler","WIWA","EBIRD"
"102","1-23","Wrentit","WREN","EBIRD"
"103","1-24","Barn Swallow","BARS","EBIRD"
"104","1-24","California Quail","CAQU","EBIRD"
"105","1-24","Common Raven","CORA","EBIRD"
"106","1-24","Downy Woodpecker","DOWO","EBIRD"
"107","1-24","European Starling","EUST","EBIRD"
"108","1-24","House Finch","HOFI","EBIRD"
"109","1-24","Lazuli Bunting","LAZB","EBIRD"
"110","1-24","Pine Siskin","PISI","EBIRD"
"111","1-24","Western Bluebird","WEBL","EBIRD"
"112","1-24","White-crowned Sparrow","WCSP","EBIRD"
"113","1-24","White-tailed Kite","WTKI","EBIRD"
"114","1-7","Barn Swallow","BARS","EBIRD"
"115","1-8","American Coot","AMCO","EBIRD"
"116","1-8","American Goldfinch","AMGO","EBIRD"
"117","1-8","Barn Swallow","BARS","EBIRD"
"118","1-8","Black-necked Stilt","BNST","EBIRD"
"119","1-8","Brewer's Blackbird","BRBL","EBIRD"
"120","1-8","Brown-headed Cowbird","BHCO","EBIRD"
"121","1-8","Bullock's Oriole","BUOR","EBIRD"
"122","1-8","California Scrub-Jay","CASJ","EBIRD"
"123","1-8","California Towhee","CALT","EBIRD"
"124","1-8","Canada Goose","CANG","EBIRD"
"125","1-8","Cliff Swallow","CLSW","EBIRD"
"126","1-8","Common Raven","CORA","EBIRD"
"127","1-8","European Starling","EUST","EBIRD"
"128","1-8","Great-tailed Grackle","GTGR","EBIRD"
"129","1-8","House Finch","HOFI","EBIRD"
"130","1-8","House Sparrow","HOSP","EBIRD"
"131","1-8","House Wren","HOWR","EBIRD"
"132","1-8","Lesser Goldfinch","LEGO","EBIRD"
"133","1-8","Mallard","MALL","EBIRD"
"134","1-8","Northern Rough-winged Swallow","NRWS","EBIRD"
"135","1-8","Nuttall's Woodpecker","NUWO","EBIRD"
"136","1-8","Peregrine Falcon","PEFA","EBIRD"
"137","1-8","Pied-billed Grebe","PBGR","EBIRD"
"138","1-8","Red-tailed Hawk","RTHA","EBIRD"
"139","1-8","Red-winged Blackbird","RWBL","EBIRD"
"140","1-8","Savannah Sparrow","SAVS","EBIRD"
"141","1-8","Song Sparrow","SOSP","EBIRD"
"142","1-8","Tree Swallow","TRES","EBIRD"
"143","1-8","Violet-green Swallow","VGSW","EBIRD"
"144","1-8","Virginia Rail","VIRA","EBIRD"
"145","1-8","Western Bluebird","WEBL","EBIRD"
"146","1-8","Western Kingbird","WEKI","EBIRD"
"147","1-9","American Goldfinch","AMGO","EBIRD"
"148","1-9","California Scrub-Jay","CASJ","EBIRD"
"149","1-9","Common Raven","CORA","EBIRD"
"150","1-9","Red-tailed Hawk","RTHA","EBIRD"
"151","1-9","Song Sparrow","SOSP","EBIRD"
"152","1-9","Wild Turkey","WITU","EBIRD"
"153","10-1","Allen's Hummingbird","ALHU","EBIRD"
"154","10-1","Black Phoebe","BLPH","EBIRD"
"155","10-1","California Quail","CAQU","EBIRD"
"156","10-1","California Scrub-Jay","CASJ","EBIRD"
"157","10-1","California Towhee","CALT","EBIRD"
"158","10-1","Chestnut-backed Chickadee","CBCH","EBIRD"
"159","10-1","Chipping Sparrow","CHSP","EBIRD"
"160","10-1","Dark-eyed Junco","DEJU","EBIRD"
"161","10-1","Downy Woodpecker","DOWO","EBIRD"
"162","10-1","Golden-crowned Kinglet","GCKI","EBIRD"
"163","10-1","House Finch","HOFI","EBIRD"
"164","10-1","Hutton's Vireo","HUVI","EBIRD"
"165","10-1","Osprey","OSPR","EBIRD"
"166","10-1","Pacific-slope Flycatcher","PSFL","EBIRD"
"167","10-1","Purple Finch","PUFI","EBIRD"
"168","10-1","Song Sparrow","SOSP","EBIRD"
"169","10-1","Spotted Towhee","SPTO","EBIRD"
"170","10-1","Swainson's Thrush","SWTH","EBIRD"
"171","10-1","Wilson's Warbler","WIWA","EBIRD"
"172","10-1","Wrentit","WREN","EBIRD"
"173","10-10","Allen's Hummingbird","ALHU","EBIRD"
"174","10-10","American Crow","AMCR","EBIRD"
"175","10-10","American Goldfinch","AMGO","EBIRD"
"176","10-10","American Robin","AMRO","EBIRD"
"177","10-10","Anna's Hummingbird","ANHU","EBIRD"
"178","10-10","Barn Swallow","BARS","EBIRD"
"179","10-10","Belted Kingfisher","BEKI","EBIRD"
"180","10-10","Bewick's Wren","BEWR","EBIRD"
"181","10-10","Black Oystercatcher","BLOY","EBIRD"
"182","10-10","Black Phoebe","BLPH","EBIRD"
"183","10-10","Brewer's Blackbird","BRBL","EBIRD"
"184","10-10","Brown-headed Cowbird","BHCO","EBIRD"
"185","10-10","Bushtit","BUSH","EBIRD"
"186","10-10","California Gull","CAGU","EBIRD"
"187","10-10","California Quail","CAQU","EBIRD"
"188","10-10","California Scrub-Jay","CASJ","EBIRD"
"189","10-10","California Towhee","CALT","EBIRD"
"190","10-10","Canada Goose","CANG","EBIRD"
"191","10-10","Chestnut-backed Chickadee","CBCH","EBIRD"
"192","10-10","Cinnamon Teal","CITE","EBIRD"
"193","10-10","Cliff Swallow","CLSW","EBIRD"
"194","10-10","Common Murre","COMU","EBIRD"
"195","10-10","Common Raven","CORA","EBIRD"
"196","10-10","Common Yellowthroat","COYE","EBIRD"
"197","10-10","Dark-eyed Junco","DEJU","EBIRD"
"198","10-10","Double-crested Cormorant","DCCO","EBIRD"
"199","10-10","Downy Woodpecker","DOWO","EBIRD"
"200","10-10","Eurasian Collared-Dove","EUCD","EBIRD"
"201","10-10","European Starling","EUST","EBIRD"
"202","10-10","Great Blue Heron","GBHE","EBIRD"
"203","10-10","Great Egret","GREG","EBIRD"
"204","10-10","Hairy Woodpecker","HAWO","EBIRD"
"205","10-10","Hooded Oriole","HOOR","EBIRD"
"206","10-10","House Finch","HOFI","EBIRD"
"207","10-10","House Sparrow","HOSP","EBIRD"
"208","10-10","Hutton's Vireo","HUVI","EBIRD"
"209","10-10","Mallard","MALL","EBIRD"
"210","10-10","Marsh Wren","MAWR","EBIRD"
"211","10-10","Mourning Dove","MODO","EBIRD"
"212","10-10","Northern Harrier","NOHA","EBIRD"
"213","10-10","Northern Rough-winged Swallow","NRWS","EBIRD"
"214","10-10","Nuttall's Woodpecker","NUWO","EBIRD"
"215","10-10","Olive-sided Flycatcher","OSFL","EBIRD"
"216","10-10","Osprey","OSPR","EBIRD"
"217","10-10","Pacific-slope Flycatcher","PSFL","EBIRD"
"218","10-10","Pacific Wren","PAWR","EBIRD"
"219","10-10","Pine Siskin","PISI","EBIRD"
"220","10-10","Purple Finch","PUFI","EBIRD"
"221","10-10","Purple Martin","PUMA","EBIRD"
"222","10-10","Pygmy Nuthatch","PYNU","EBIRD"
"223","10-10","Red-shouldered Hawk","RSHA","EBIRD"
"224","10-10","Red-tailed Hawk","RTHA","EBIRD"
"225","10-10","Red-winged Blackbird","RWBL","EBIRD"
"226","10-10","Savannah Sparrow","SAVS","EBIRD"
"227","10-10","Song Sparrow","SOSP","EBIRD"
"228","10-10","Spotted Towhee","SPTO","EBIRD"
"229","10-10","Steller's Jay","STJA","EBIRD"
"230","10-10","Swainson's Thrush","SWTH","EBIRD"
"231","10-10","Tree Swallow","TRES","EBIRD"
"232","10-10","Turkey Vulture","TUVU","EBIRD"
"233","10-10","Violet-green Swallow","VGSW","EBIRD"
"234","10-10","Warbling Vireo","WAVI","EBIRD"
"235","10-10","Western Bluebird","WEBL","EBIRD"
"236","10-10","Western Gull","WEGU","EBIRD"
"237","10-10","White-crowned Sparrow","WCSP","EBIRD"
"238","10-10","Wilson's Warbler","WIWA","EBIRD"
"239","10-10","Wrentit","WREN","EBIRD"
"240","10-13","Bullock's Oriole","BUOR","EBIRD"
"241","10-13","Wilson's Warbler","WIWA","EBIRD"
"242","10-14","Allen's Hummingbird","ALHU","EBIRD"
"243","10-14","American Crow","AMCR","EBIRD"
"244","10-14","Anna's Hummingbird","ANHU","EBIRD"
"245","10-14","Black-throated Gray Warbler","BTYW","EBIRD"
"246","10-14","Bullock's Oriole","BUOR","EBIRD"
"247","10-14","California Towhee","CALT","EBIRD"
"248","10-14","Dark-eyed Junco","DEJU","EBIRD"
"249","10-14","House Finch","HOFI","EBIRD"
"250","10-14","Lesser Goldfinch","LEGO","EBIRD"
"251","10-14","Oak Titmouse","OATI","EBIRD"
"252","10-14","Orange-crowned Warbler","OCWA","EBIRD"
"253","10-14","Pacific-slope Flycatcher","PSFL","EBIRD"
"254","10-14","Pygmy Nuthatch","PYNU","EBIRD"
"255","10-14","Violet-green Swallow","VGSW","EBIRD"
"256","10-14","Western Bluebird","WEBL","EBIRD"
"257","10-14","White-tailed Kite","WTKI","EBIRD"
"258","10-15","Osprey","OSPR","EBIRD"
"259","10-16","Allen's Hummingbird","ALHU","EBIRD"
"260","10-16","American Robin","AMRO","EBIRD"
"261","10-16","Anna's Hummingbird","ANHU","EBIRD"
"262","10-16","Ash-throated Flycatcher","ATFL","EBIRD"
"263","10-16","Bald Eagle","BAEA","EBIRD"
"264","10-16","Band-tailed Pigeon","BTPI","EBIRD"
"265","10-16","Barn Swallow","BARS","EBIRD"
"266","10-16","Bewick's Wren","BEWR","EBIRD"
"267","10-16","Black-chinned Sparrow","BCSP","EBIRD"
"268","10-16","Black-headed Grosbeak","BHGR","EBIRD"
"269","10-16","Black-throated Gray Warbler","BTYW","EBIRD"
"270","10-16","Black Phoebe","BLPH","EBIRD"
"271","10-16","Blue-gray Gnatcatcher","BGGN","EBIRD"
"272","10-16","Bushtit","BUSH","EBIRD"
"273","10-16","California Quail","CAQU","EBIRD"
"274","10-16","California Scrub-Jay","CASJ","EBIRD"
"275","10-16","California Towhee","CALT","EBIRD"
"276","10-16","Chestnut-backed Chickadee","CBCH","EBIRD"
"277","10-16","Dark-eyed Junco","DEJU","EBIRD"
"278","10-16","European Starling","EUST","EBIRD"
"279","10-16","House Finch","HOFI","EBIRD"
"280","10-16","Hutton's Vireo","HUVI","EBIRD"
"281","10-16","Killdeer","KILL","EBIRD"
"282","10-16","Lazuli Bunting","LAZB","EBIRD"
"283","10-16","Lesser Goldfinch","LEGO","EBIRD"
"284","10-16","Mallard","MALL","EBIRD"
"285","10-16","Mourning Dove","MODO","EBIRD"
"286","10-16","Northern Flicker","NOFL","EBIRD"
"287","10-16","Oak Titmouse","OATI","EBIRD"
"288","10-16","Orange-crowned Warbler","OCWA","EBIRD"
"289","10-16","Osprey","OSPR","EBIRD"
"290","10-16","Pacific-slope Flycatcher","PSFL","EBIRD"
"291","10-16","Pileated Woodpecker","PIWO","EBIRD"
"292","10-16","Pine Siskin","PISI","EBIRD"
"293","10-16","Purple Finch","PUFI","EBIRD"
"294","10-16","Purple Martin","PUMA","EBIRD"
"295","10-16","Red-tailed Hawk","RTHA","EBIRD"
"296","10-16","Rufous-crowned Sparrow","RCSP","EBIRD"
"297","10-16","Snowy Egret","SNEG","EBIRD"
"298","10-16","Song Sparrow","SOSP","EBIRD"
"299","10-16","Spotted Towhee","SPTO","EBIRD"
"300","10-16","Steller's Jay","STJA","EBIRD"
"301","10-16","Tree Swallow","TRES","EBIRD"
"302","10-16","Violet-green Swallow","VGSW","EBIRD"
"303","10-16","Western Bluebird","WEBL","EBIRD"
"304","10-16","Western Screech-Owl","WESO","EBIRD"
"305","10-16","Wild Turkey","WITU","EBIRD"
"306","10-16","Wrentit","WREN","EBIRD"
"307","10-17","Allen's Hummingbird","ALHU","EBIRD"
"308","10-17","Black Phoebe","BLPH","EBIRD"
"309","10-17","California Quail","CAQU","EBIRD"
"310","10-17","California Scrub-Jay","CASJ","EBIRD"
"311","10-17","Cliff Swallow","CLSW","EBIRD"
"312","10-17","Great Blue Heron","GBHE","EBIRD"
"313","10-17","Great Egret","GREG","EBIRD"
"314","10-17","Hairy Woodpecker","HAWO","EBIRD"
"315","10-17","Mallard","MALL","EBIRD"
"316","10-17","Orange-crowned Warbler","OCWA","EBIRD"
"317","10-17","Osprey","OSPR","EBIRD"
"318","10-17","Pacific-slope Flycatcher","PSFL","EBIRD"
"319","10-17","Pelagic Cormorant","PECO","EBIRD"
"320","10-17","Spotted Towhee","SPTO","EBIRD"
"321","10-17","Steller's Jay","STJA","EBIRD"
"322","10-17","Virginia Rail","VIRA","EBIRD"
"323","10-17","Warbling Vireo","WAVI","EBIRD"
"324","10-17","Wrentit","WREN","EBIRD"
"325","10-18","Allen's Hummingbird","ALHU","EBIRD"
"326","10-18","Anna's Hummingbird","ANHU","EBIRD"
"327","10-18","Ash-throated Flycatcher","ATFL","EBIRD"
"328","10-18","Bald Eagle","BAEA","EBIRD"
"329","10-18","Band-tailed Pigeon","BTPI","EBIRD"
"330","10-18","Bewick's Wren","BEWR","EBIRD"
"331","10-18","Black-chinned Sparrow","BCSP","EBIRD"
"332","10-18","Black-headed Grosbeak","BHGR","EBIRD"
"333","10-18","Black-throated Gray Warbler","BTYW","EBIRD"
"334","10-18","Blue-gray Gnatcatcher","BGGN","EBIRD"
"335","10-18","Bushtit","BUSH","EBIRD"
"336","10-18","California Scrub-Jay","CASJ","EBIRD"
"337","10-18","Canada Goose","CANG","EBIRD"
"338","10-18","Cliff Swallow","CLSW","EBIRD"
"339","10-18","Common Merganser","COME","EBIRD"
"340","10-18","Dark-eyed Junco","DEJU","EBIRD"
"341","10-18","Hutton's Vireo","HUVI","EBIRD"
"342","10-18","Lazuli Bunting","LAZB","EBIRD"
"343","10-18","Lesser Goldfinch","LEGO","EBIRD"
"344","10-18","Mourning Dove","MODO","EBIRD"
"345","10-18","Northern Flicker","NOFL","EBIRD"
"346","10-18","Orange-crowned Warbler","OCWA","EBIRD"
"347","10-18","Osprey","OSPR","EBIRD"
"348","10-18","Pacific-slope Flycatcher","PSFL","EBIRD"
"349","10-18","Pacific Wren","PAWR","EBIRD"
"350","10-18","Purple Finch","PUFI","EBIRD"
"351","10-18","Purple Martin","PUMA","EBIRD"
"352","10-18","Rufous-crowned Sparrow","RCSP","EBIRD"
"353","10-18","Spotted Towhee","SPTO","EBIRD"
"354","10-18","Steller's Jay","STJA","EBIRD"
"355","10-18","Swainson's Thrush","SWTH","EBIRD"
"356","10-18","Violet-green Swallow","VGSW","EBIRD"
"357","10-18","Western Screech-Owl","WESO","EBIRD"
"358","10-18","Wrentit","WREN","EBIRD"
"359","10-19","Allen's Hummingbird","ALHU","EBIRD"
"360","10-19","American Goldfinch","AMGO","EBIRD"
"361","10-19","Anna's Hummingbird","ANHU","EBIRD"
"362","10-19","Barn Swallow","BARS","EBIRD"
"363","10-19","Belted Kingfisher","BEKI","EBIRD"
"364","10-19","Black-headed Grosbeak","BHGR","EBIRD"
"365","10-19","Black Phoebe","BLPH","EBIRD"
"366","10-19","Brewer's Blackbird","BRBL","EBIRD"
"367","10-19","Brown-headed Cowbird","BHCO","EBIRD"
"368","10-19","Bushtit","BUSH","EBIRD"
"369","10-19","California Quail","CAQU","EBIRD"
"370","10-19","California Scrub-Jay","CASJ","EBIRD"
"371","10-19","Canada Goose","CANG","EBIRD"
"372","10-19","Chestnut-backed Chickadee","CBCH","EBIRD"
"373","10-19","Cinnamon Teal","CITE","EBIRD"
"374","10-19","Cliff Swallow","CLSW","EBIRD"
"375","10-19","Common Raven","CORA","EBIRD"
"376","10-19","Common Yellowthroat","COYE","EBIRD"
"377","10-19","Dark-eyed Junco","DEJU","EBIRD"
"378","10-19","Double-crested Cormorant","DCCO","EBIRD"
"379","10-19","Downy Woodpecker","DOWO","EBIRD"
"380","10-19","Eurasian Collared-Dove","EUCD","EBIRD"
"381","10-19","European Starling","EUST","EBIRD"
"382","10-19","Great Blue Heron","GBHE","EBIRD"
"383","10-19","Great Egret","GREG","EBIRD"
"384","10-19","Hairy Woodpecker","HAWO","EBIRD"
"385","10-19","House Finch","HOFI","EBIRD"
"386","10-19","House Sparrow","HOSP","EBIRD"
"387","10-19","Hutton's Vireo","HUVI","EBIRD"
"388","10-19","Mallard","MALL","EBIRD"
"389","10-19","Marsh Wren","MAWR","EBIRD"
"390","10-19","Mourning Dove","MODO","EBIRD"
"391","10-19","Northern Rough-winged Swallow","NRWS","EBIRD"
"392","10-19","Nuttall's Woodpecker","NUWO","EBIRD"
"393","10-19","Olive-sided Flycatcher","OSFL","EBIRD"
"394","10-19","Orange-crowned Warbler","OCWA","EBIRD"
"395","10-19","Osprey","OSPR","EBIRD"
"396","10-19","Pacific-slope Flycatcher","PSFL","EBIRD"
"397","10-19","Pelagic Cormorant","PECO","EBIRD"
"398","10-19","Pine Siskin","PISI","EBIRD"
"399","10-19","Purple Finch","PUFI","EBIRD"
"400","10-19","Purple Martin","PUMA","EBIRD"
"401","10-19","Pygmy Nuthatch","PYNU","EBIRD"
"402","10-19","Red-tailed Hawk","RTHA","EBIRD"
"403","10-19","Savannah Sparrow","SAVS","EBIRD"
"404","10-19","Song Sparrow","SOSP","EBIRD"
"405","10-19","Spotted Towhee","SPTO","EBIRD"
"406","10-19","Steller's Jay","STJA","EBIRD"
"407","10-19","Swainson's Thrush","SWTH","EBIRD"
"408","10-19","Tree Swallow","TRES","EBIRD"
"409","10-19","Violet-green Swallow","VGSW","EBIRD"
"410","10-19","Virginia Rail","VIRA","EBIRD"
"411","10-19","Warbling Vireo","WAVI","EBIRD"
"412","10-19","Western Bluebird","WEBL","EBIRD"
"413","10-19","Western Gull","WEGU","EBIRD"
"414","10-19","Wilson's Warbler","WIWA","EBIRD"
"415","10-19","Wrentit","WREN","EBIRD"
"416","10-2","Acorn Woodpecker","ACWO","EBIRD"
"417","10-2","Bald Eagle","BAEA","EBIRD"
"418","10-2","Common Merganser","COME","EBIRD"
"419","10-2","Hermit Thrush","HETH","EBIRD"
"420","10-2","Mallard","MALL","EBIRD"
"421","10-2","Orange-crowned Warbler","OCWA","EBIRD"
"422","10-2","Osprey","OSPR","EBIRD"
"423","10-2","Pacific-slope Flycatcher","PSFL","EBIRD"
"424","10-2","Violet-green Swallow","VGSW","EBIRD"
"425","10-2","Warbling Vireo","WAVI","EBIRD"
"426","10-2","Wilson's Warbler","WIWA","EBIRD"
"427","10-2","Wood Duck","WODU","EBIRD"
"428","10-20","Black-headed Grosbeak","BHGR","EBIRD"
"429","10-20","Black Phoebe","BLPH","EBIRD"
"430","10-20","Brown Creeper","BRCR","EBIRD"
"431","10-20","Bushtit","BUSH","EBIRD"
"432","10-20","Canada Goose","CANG","EBIRD"
"433","10-20","Cliff Swallow","CLSW","EBIRD"
"434","10-20","Common Merganser","COME","EBIRD"
"435","10-20","Dark-eyed Junco","DEJU","EBIRD"
"436","10-20","European Starling","EUST","EBIRD"
"437","10-20","Great Egret","GREG","EBIRD"
"438","10-20","Hermit Warbler","HEWA","EBIRD"
"439","10-20","Lesser Goldfinch","LEGO","EBIRD"
"440","10-20","Osprey","OSPR","EBIRD"
"441","10-20","Pacific-slope Flycatcher","PSFL","EBIRD"
"442","10-20","Pacific Wren","PAWR","EBIRD"
"443","10-20","Pileated Woodpecker","PIWO","EBIRD"
"444","10-20","Purple Martin","PUMA","EBIRD"
"445","10-20","Steller's Jay","STJA","EBIRD"
"446","10-20","Swainson's Thrush","SWTH","EBIRD"
"447","10-20","Wrentit","WREN","EBIRD"
"448","10-21","American Crow","AMCR","EBIRD"
"449","10-21","American Goldfinch","AMGO","EBIRD"
"450","10-21","American Kestrel","AMKE","EBIRD"
"451","10-21","American Redstart","AMRE","EBIRD"
"452","10-21","Anna's Hummingbird","ANHU","EBIRD"
"453","10-21","Barn Swallow","BARS","EBIRD"
"454","10-21","Belted Kingfisher","BEKI","EBIRD"
"455","10-21","Black-headed Grosbeak","BHGR","EBIRD"
"456","10-21","Black Phoebe","BLPH","EBIRD"
"457","10-21","Brown-headed Cowbird","BHCO","EBIRD"
"458","10-21","Brown Creeper","BRCR","EBIRD"
"459","10-21","Bushtit","BUSH","EBIRD"
"460","10-21","California Gull","CAGU","EBIRD"
"461","10-21","California Quail","CAQU","EBIRD"
"462","10-21","California Scrub-Jay","CASJ","EBIRD"
"463","10-21","Canada Goose","CANG","EBIRD"
"464","10-21","Chestnut-backed Chickadee","CBCH","EBIRD"
"465","10-21","Cinnamon Teal","CITE","EBIRD"
"466","10-21","Cliff Swallow","CLSW","EBIRD"
"467","10-21","Common Merganser","COME","EBIRD"
"468","10-21","Common Murre","COMU","EBIRD"
"469","10-21","Common Raven","CORA","EBIRD"
"470","10-21","Dark-eyed Junco","DEJU","EBIRD"
"471","10-21","Double-crested Cormorant","DCCO","EBIRD"
"472","10-21","Downy Woodpecker","DOWO","EBIRD"
"473","10-21","Eurasian Collared-Dove","EUCD","EBIRD"
"474","10-21","European Starling","EUST","EBIRD"
"475","10-21","Great Blue Heron","GBHE","EBIRD"
"476","10-21","Great Egret","GREG","EBIRD"
"477","10-21","Hooded Oriole","HOOR","EBIRD"
"478","10-21","House Finch","HOFI","EBIRD"
"479","10-21","House Sparrow","HOSP","EBIRD"
"480","10-21","Hutton's Vireo","HUVI","EBIRD"
"481","10-21","Mallard","MALL","EBIRD"
"482","10-21","Mourning Dove","MODO","EBIRD"
"483","10-21","Northern Rough-winged Swallow","NRWS","EBIRD"
"484","10-21","Nuttall's Woodpecker","NUWO","EBIRD"
"485","10-21","Olive-sided Flycatcher","OSFL","EBIRD"
"486","10-21","Osprey","OSPR","EBIRD"
"487","10-21","Pacific-slope Flycatcher","PSFL","EBIRD"
"488","10-21","Pacific Wren","PAWR","EBIRD"
"489","10-21","Pine Siskin","PISI","EBIRD"
"490","10-21","Purple Finch","PUFI","EBIRD"
"491","10-21","Purple Martin","PUMA","EBIRD"
"492","10-21","Pygmy Nuthatch","PYNU","EBIRD"
"493","10-21","Red-shouldered Hawk","RSHA","EBIRD"
"494","10-21","Red-tailed Hawk","RTHA","EBIRD"
"495","10-21","Savannah Sparrow","SAVS","EBIRD"
"496","10-21","Song Sparrow","SOSP","EBIRD"
"497","10-21","Steller's Jay","STJA","EBIRD"
"498","10-21","Tree Swallow","TRES","EBIRD"
"499","10-21","Violet-green Swallow","VGSW","EBIRD"
"500","10-21","Western Bluebird","WEBL","EBIRD"
"501","10-21","Western Gull","WEGU","EBIRD"
"502","10-21","Wilson's Warbler","WIWA","EBIRD"
"503","10-21","Wrentit","WREN","EBIRD"
"504","10-3","Allen's Hummingbird","ALHU","EBIRD"
"505","10-3","American Goldfinch","AMGO","EBIRD"
